	Unnamed: 0	TajimaD	genename	loc	chr	PhytoHor_set
30	30	-2.15198496879	AT2G04920.TAIR10	1726138	Chr2	False
31	31	-2.11630985774	AT3G25850.TAIR10	9458178	Chr3	False
32	32	-0.989590994371	AT1G74060.TAIR10	27849833	Chr1	False
33	33	-1.47575247587	AT2G16970.TAIR10	7369549	Chr2	False
34	34	-2.08405563295	AT4G30480.TAIR10	14897353	Chr4	False
35	35	-0.0552011381509	AT5G57620.TAIR10	23334817	Chr5	False
36	36	-1.73033430503	AT3G02750.TAIR10	593207	Chr3	False
37	37	-1.81973338172	AT4G33495.TAIR10	16110712	Chr4	False
38	38	-1.18065064206	AT1G12300.TAIR10	4183066	Chr1	False
39	39	-0.88403655375	AT4G33540.TAIR10	16130824	Chr4	False
40	40	-2.26896204301	AT1G48640.TAIR10	17986358	Chr1	False
41	41	-2.19984229066	AT4G24204.TAIR10	12561780	Chr4	False
42	42	-2.45561111897	AT3G03870.TAIR10	995217	Chr3	False
43	43	-2.40020472242	AT5G49110.TAIR10	19900203	Chr5	False
44	44	-0.472290347226	AT4G07526.TAIR10	4358652	Chr4	False
45	45	-2.38793050145	AT1G79220.TAIR10	29798935	Chr1	False
46	46	-2.0709172344	AT3G18957.TAIR10	6541535	Chr3	False
47	47	-2.37964066795	AT3G01160.TAIR10	54541	Chr3	False
48	48	-0.393222132766	AT5G02080.TAIR10	409811	Chr5	False
49	49	-2.13962130195	AT5G64530.TAIR10	25795233	Chr5	False
50	50	-1.72793669317	AT5G36190.TAIR10	14243109	Chr5	False
51	51	-2.42580031628	AT4G17730.TAIR10	9865103	Chr4	False
52	52	-2.06447295055	AT3G57690.TAIR10	21384204	Chr3	False
53	53	-2.03258841607	AT5G13680.TAIR10	4410361	Chr5	False
54	54	-2.18362411971	AT5G28660.TAIR10	10683218	Chr5	False
55	55	-2.38411548489	AT2G45500.TAIR10	18749798	Chr2	False
56	56	-2.59281967071	AT1G18070.TAIR10	6213777	Chr1	False
57	57	-2.19564552696	AT5G50423.TAIR10	20532860	Chr5	False
58	58	-2.17147101014	AT2G35840.TAIR10	15053623	Chr2	False
59	59	-1.22538690415	AT5G09220.TAIR10	2866252	Chr5	False
60	60	-2.0123531482	AT4G37760.TAIR10	17743887	Chr4	False
61	61	1.10815148946	AT5G59260.TAIR10	23907901	Chr5	False
62	62	-0.760610566307	AT3G19240.TAIR10	6664250	Chr3	False
63	63	-2.06643467711	AT5G19390.TAIR10	6531538	Chr5	False
64	64		AT2G07722.TAIR10	3438742	Chr2	False
65	65	-2.26898073622	AT1G30000.TAIR10	10509211	Chr1	False
66	66	-1.36594676621	AT5G24260.TAIR10	8234723	Chr5	False
67	67	-1.30695871891	AT2G41000.TAIR10	17111445	Chr2	False
68	68	-1.0668678348	AT1G79510.TAIR10	29908013	Chr1	False
69	69	0.0102717958829	AT1G10310.TAIR10	3381601	Chr1	False
70	70	-1.03293142525	AT2G32800.TAIR10	13916452	Chr2	False
71	71	-1.87826244398	AT3G46220.TAIR10	16979048	Chr3	False
72	72	-2.36213462168	AT1G18620.TAIR10	6410033	Chr1	False
73	73	0.0330120433384	AT3G23240.TAIR10	8295644	Chr3	True
74	74	-1.94267635109	AT5G26617.TAIR10	9360462	Chr5	False
75	75	-1.87108048856	AT1G18130.TAIR10	6235895	Chr1	False
76	76	-1.26532530404	AT3G18320.TAIR10	6289227	Chr3	False
77	77	-1.41173532357	AT3G51370.TAIR10	19069363	Chr3	False
78	78	-1.88559272907	AT5G44360.TAIR10	17871924	Chr5	False
79	79	-1.97178466651	AT5G06610.TAIR10	2029897	Chr5	False
80	80	-1.98889611703	AT5G58710.TAIR10	23717775	Chr5	False
81	81	-2.34379785753	AT5G03180.TAIR10	754016	Chr5	False
82	82	0.750497383577	AT5G47770.TAIR10	19345173	Chr5	False
83	83	-2.04594073107	AT3G13550.TAIR10	4423349	Chr3	False
84	84	-1.26187913168	AT3G48030.TAIR10	17725410	Chr3	False
85	85	-2.28028324263	AT2G23790.TAIR10	10125368	Chr2	False
86	86	-1.19497742018	AT2G16490.TAIR10	7146000	Chr2	False
87	87	-1.68722932822	AT5G04820.TAIR10	1399619	Chr5	True
88	88	-1.72302783305	AT2G44450.TAIR10	18340921	Chr2	False
89	89	-0.435355538515	AT2G24030.TAIR10	10220061	Chr2	False
90	90	-0.0242530534829	AT1G58380.TAIR10	21689032	Chr1	False
91	91	-2.29375973102	AT1G72290.TAIR10	27215789	Chr1	False
92	92	-1.69896299019	AT4G32450.TAIR10	15660927	Chr4	False
93	93	-2.37152326603	AT1G50940.TAIR10	18877812	Chr1	False
94	94	-1.70946871724	AT1G74990.TAIR10	28159715	Chr1	False
95	95	0.142368833899	AT5G49525.TAIR10	20097040	Chr5	False
96	96	-2.50867253707	AT1G55360.TAIR10	20666222	Chr1	False
97	97	-1.97799035225	AT1G09090.TAIR10	2932739	Chr1	False
98	98	-1.35552001989	AT4G35580.TAIR10	16888405	Chr4	False
99	99	-2.25716506273	AT3G59970.TAIR10	22151195	Chr3	False
100	100	-2.13586210529	AT1G72240.TAIR10	27190179	Chr1	False
101	101	-2.31731852489	AT5G11160.TAIR10	3550520	Chr5	False
102	102		AT2G07719.TAIR10	3432795	Chr2	False
103	103	-1.00296715333	AT5G61520.TAIR10	24739026	Chr5	False
104	104	-2.21296388726	AT5G27550.TAIR10	9727454	Chr5	False
105	105	-1.78614059752	AT1G16630.TAIR10	5682118	Chr1	False
106	106	-1.76827686486	AT2G04515.TAIR10	1573637	Chr2	False
107	107	-2.26299215246	AT3G53410.TAIR10	19800951	Chr3	False
108	108	-2.41085485931	AT2G47130.TAIR10	19349536	Chr2	False
109	109	-2.04365356545	AT4G11330.TAIR10	6892055	Chr4	False
110	110	-1.27719212589	AT1G66230.TAIR10	24677154	Chr1	False
111	111	-2.26562420388	AT4G21000.TAIR10	11222529	Chr4	False
112	112	-1.25814230314	AT4G26850.TAIR10	13499010	Chr4	False
113	113	0.85550288423	AT5G27090.TAIR10	9531845	Chr5	False
114	114	-1.13070908351	AT5G43490.TAIR10	17468471	Chr5	False
115	115	0.760253416092	AT3G60940.TAIR10	22521446	Chr3	False
116	116	1.52507943007	AT5G53050.TAIR10	21510129	Chr5	False
117	117	-2.52635086483	AT2G42360.TAIR10	17640798	Chr2	False
118	118	-1.33644522554	AT5G48953.TAIR10	19847711	Chr5	False
119	119	-2.27554989901	AT4G39753.TAIR10	18440112	Chr4	False
120	120	-2.03591281371	AT4G21030.TAIR10	11231414	Chr4	False
121	121	-0.510620359274	AT3G30390.TAIR10	11976837	Chr3	False
122	122	-2.10971719853	AT3G15180.TAIR10	5111893	Chr3	False
123	123	-1.70827652527	AT1G61550.TAIR10	22704198	Chr1	False
124	124	-0.986020985388	AT3G15630.TAIR10	5296847	Chr3	False
125	125	-2.07264771265	AT4G03020.TAIR10	1331399	Chr4	False
126	126	-2.23904186892	AT3G01020.TAIR10	5104	Chr3	False
127	127	-1.04833134285	AT4G33210.TAIR10	16015730	Chr4	False
128	128	-2.34161493621	AT1G28710.TAIR10	10086637	Chr1	False
129	129	-1.50618138066	AT4G28610.TAIR10	14132856	Chr4	False
130	130	-1.5983211615	AT4G22520.TAIR10	11858614	Chr4	False
131	131	-0.218984807936	AT1G12010.TAIR10	4056207	Chr1	False
132	132	-0.444918634811	AT4G13130.TAIR10	7647389	Chr4	False
133	133	-1.62872926055	AT2G32370.TAIR10	13740878	Chr2	False
134	134	-1.72306841203	AT1G31319.TAIR10	11211807	Chr1	False
135	135	-0.918136562879	AT4G10440.TAIR10	6459728	Chr4	False
136	136	-2.26597807901	AT4G39560.TAIR10	18382291	Chr4	False
137	137	-2.17248144789	AT1G54860.TAIR10	20457421	Chr1	False
138	138	-1.19722393717	AT4G16790.TAIR10	9451585	Chr4	False
139	139	-1.63439049367	AT2G04090.TAIR10	1362653	Chr2	False
140	140	-1.91656981781	AT1G70480.TAIR10	26562059	Chr1	False
141	141	-2.00315937222	AT2G37700.TAIR10	15810581	Chr2	False
142	142	-2.00026160585	AT1G22610.TAIR10	7994291	Chr1	False
143	143	-0.825513268806	AT4G17180.TAIR10	9646505	Chr4	False
144	144		ATCG01050.TAIR10	115665	ChrC	False
145	145	-1.27175699005	AT4G18580.TAIR10	10234667	Chr4	False
146	146	-1.28964637697	AT1G27250.TAIR10	9468568	Chr1	False
147	147	-2.1164946919	AT3G26680.TAIR10	9801308	Chr3	False
148	148	-0.87314136785	AT4G27030.TAIR10	13571921	Chr4	False
149	149	-2.23083568304	AT1G09010.TAIR10	2895166	Chr1	False
150	150	-0.473862821942	AT2G25210.TAIR10	10739855	Chr2	False
151	151	-2.30641077758	AT3G04600.TAIR10	1242973	Chr3	False
152	152	-0.693907131604	AT2G35050.TAIR10	14768724	Chr2	False
153	153	-0.320784657388	AT5G26830.TAIR10	9437297	Chr5	False
154	154	-0.991387814861	AT5G57180.TAIR10	23168018	Chr5	False
155	155	1.3054864086	AT1G29150.TAIR10	10180518	Chr1	False
156	156	-0.450474864662	AT1G14940.TAIR10	5154537	Chr1	False
157	157	0.327255163463	AT5G17120.TAIR10	5628529	Chr5	False
158	158	-2.38657906511	AT2G34560.TAIR10	14560188	Chr2	False
159	159	0.284714112708	AT1G31720.TAIR10	11356102	Chr1	False
160	160	0.229672629973	AT5G46040.TAIR10	18671397	Chr5	False
161	161	-2.26135392344	AT3G02450.TAIR10	502707	Chr3	False
162	162	-2.00904234632	AT3G47550.TAIR10	17523458	Chr3	False
163	163	0.0265607668142	AT5G25220.TAIR10	8736074	Chr5	False
164	164	-0.0386595298092	AT1G31440.TAIR10	11255836	Chr1	False
165	165	-1.50193568715	AT1G66850.TAIR10	24936958	Chr1	False
166	166	-2.33085399415	AT1G03830.TAIR10	962016	Chr1	False
167	167	-2.13870348388	AT1G52470.TAIR10	19553217	Chr1	False
168	168	-0.278460918739	AT5G67030.TAIR10	26753510	Chr5	False
169	169	-1.75433108448	AT3G25855.TAIR10	9459421	Chr3	False
170	170	-2.06970042531	AT2G43510.TAIR10	18067172	Chr2	False
171	171	-1.5160260679	AT5G27070.TAIR10	9527741	Chr5	False
172	172	-2.12603175214	AT1G09100.TAIR10	2936528	Chr1	False
173	173	-1.79184051122	AT1G75350.TAIR10	28272071	Chr1	False
174	174	-1.97343262359	AT1G26520.TAIR10	9163246	Chr1	False
175	175	-2.17978057049	AT1G13510.TAIR10	4629203	Chr1	False
176	176	-2.33019770345	AT1G15200.TAIR10	5228300	Chr1	True
177	177	-2.28383505296	AT5G02030.TAIR10	395634	Chr5	False
178	178	-2.3346934256	AT5G45900.TAIR10	18615222	Chr5	False
179	179	-1.93955124597	AT3G05770.TAIR10	1710013	Chr3	False
180	180	-0.819138858053	AT3G44330.TAIR10	16006675	Chr3	False
181	181	-1.86215461352	AT5G42630.TAIR10	17073779	Chr5	False
182	182	-0.803801801475	AT3G25070.TAIR10	9132310	Chr3	False
183	183	-0.597194076555	AT5G52720.TAIR10	21378857	Chr5	False
184	184	-2.26948164834	AT4G38480.TAIR10	18003916	Chr4	False
185	185	-2.43603057123	AT5G23310.TAIR10	7850523	Chr5	False
186	186	-2.06056324278	AT5G54810.TAIR10	22264594	Chr5	False
187	187	-2.20758536979	AT3G18950.TAIR10	6536715	Chr3	False
188	188	-2.21173025136	AT5G05540.TAIR10	1636298	Chr5	False
189	189	-0.775558264744	AT5G19890.TAIR10	6724115	Chr5	False
190	190	-2.04981831165	AT5G06240.TAIR10	1888311	Chr5	False
191	191	-1.47299915882	AT5G46450.TAIR10	18835618	Chr5	False
192	192	-2.45052180404	AT2G39260.TAIR10	16392047	Chr2	False
193	193	-2.05702360668	AT5G04990.TAIR10	1471481	Chr5	False
194	194	1.59740180092	AT3G28520.TAIR10	10688323	Chr3	False
195	195	0.0996748724082	AT1G33780.TAIR10	12244585	Chr1	False
196	196	-2.13456544157	AT5G41450.TAIR10	16588600	Chr5	False
197	197	-2.14757988663	AT5G22780.TAIR10	7589854	Chr5	False
198	198	-2.20258749832	AT3G25800.TAIR10	9422588	Chr3	False
199	199	-1.13491555225	AT1G45050.TAIR10	17031281	Chr1	False
200	200	-2.18297540168	AT3G60240.TAIR10	22261650	Chr3	False
201	201	-2.13824277341	AT5G09390.TAIR10	2913534	Chr5	False
202	202	-0.855033306653	AT1G57650.TAIR10	21351291	Chr1	False
203	203	-1.21781778792	AT1G78710.TAIR10	29602708	Chr1	False
204	204	-0.362926388103	AT5G56760.TAIR10	22961309	Chr5	False
205	205	-2.17918867788	AT1G14370.TAIR10	4915576	Chr1	False
206	206	-2.34266525712	AT4G23840.TAIR10	12400345	Chr4	False
207	207	-2.23685063721	AT5G57970.TAIR10	23466718	Chr5	False
208	208	-0.976765741206	AT1G52760.TAIR10	19651325	Chr1	False
209	209	-2.0079635863	AT5G55010.TAIR10	22321900	Chr5	False
210	210	-2.14323866251	AT2G17150.TAIR10	7466841	Chr2	False
211	211	-2.10000620142	AT3G09720.TAIR10	2980221	Chr3	False
212	212	-1.63028525045	AT5G38290.TAIR10	15303336	Chr5	False
213	213	-1.3839008367	AT1G23965.TAIR10	8480422	Chr1	False
214	214	-1.06486351159	AT5G42240.TAIR10	16888226	Chr5	False
215	215	-0.0570413596284	AT3G25099.TAIR10	9143783	Chr3	False
216	216	-2.43540082597	AT1G69060.TAIR10	25964468	Chr1	False
217	217	0.206776288949	AT3G16700.TAIR10	5687721	Chr3	False
218	218	-1.43505309553	AT5G59240.TAIR10	23902465	Chr5	False
219	219	-2.29192107157	AT2G06005.TAIR10	2332547	Chr2	False
220	220	-2.41213049938	AT5G17510.TAIR10	5769973	Chr5	False
221	221	-0.140369230212	AT1G07360.TAIR10	2260389	Chr1	False
222	222	0.809011582162	AT4G19520.TAIR10	10639269	Chr4	False
223	223	-1.3979185202	AT5G52680.TAIR10	21365813	Chr5	False
224	224	-1.88488009259	AT2G36026.TAIR10	15127265	Chr2	False
225	225	-1.96175309314	AT5G35770.TAIR10	13936086	Chr5	False
226	226	-1.80024345305	AT3G59660.TAIR10	22034171	Chr3	False
227	227	-2.4794994389	AT5G05070.TAIR10	1496855	Chr5	False
228	228	-0.422960802137	AT1G49510.TAIR10	18326870	Chr1	False
229	229	-2.17046495195	AT2G28760.TAIR10	12336188	Chr2	False
230	230	-1.48216512271	AT4G29548.TAIR10	14501976	Chr4	False
231	231	-2.10273917941	AT1G02970.TAIR10	673306	Chr1	False
232	232	-2.18435568443	AT2G47115.TAIR10	19344668	Chr2	False
233	233	0.372850006086	AT2G14080.TAIR10	5925186	Chr2	False
234	234	-2.13532995324	AT5G61880.TAIR10	24850257	Chr5	False
235	235	-2.25637181471	AT1G73177.TAIR10	27516572	Chr1	False
236	236	-2.07871192832	AT5G10790.TAIR10	3410539	Chr5	False
237	237	-2.18219991827	AT3G55630.TAIR10	20636669	Chr3	False
238	238	-0.14642256256	AT5G22290.TAIR10	7375923	Chr5	False
239	239	-1.45725634028	AT5G10200.TAIR10	3201518	Chr5	False
240	240	-2.32561874038	AT5G27210.TAIR10	9572100	Chr5	False
241	241	-1.9538620787	AT3G60370.TAIR10	22314732	Chr3	False
242	242	5.32478449418	AT4G09270.TAIR10	5889703	Chr4	False
243	243	-1.28174953935	AT5G57060.TAIR10	23090152	Chr5	False
244	244		AT2G07815.TAIR10	3443688	Chr2	False
245	245	-2.47397970159	AT3G06770.TAIR10	2134800	Chr3	False
246	246	0.113851604985	AT3G24515.TAIR10	8934472	Chr3	False
247	247	-2.17311120266	AT5G13860.TAIR10	4473089	Chr5	False
248	248	-1.62630192127	AT1G40390.TAIR10	15432576	Chr1	False
249	249	-1.84970955083	AT5G64670.TAIR10	25852267	Chr5	False
250	250	-0.48202508656	AT1G62560.TAIR10	23159823	Chr1	False
251	251		ATCG00840.TAIR10	85862	ChrC	False
252	252	-1.97876296227	AT5G64770.TAIR10	25897367	Chr5	False
253	253	-1.59484040968	AT4G03090.TAIR10	1366282	Chr4	False
254	254	-1.42829199878	AT4G31115.TAIR10	15130075	Chr4	False
255	255	-2.40352688653	AT3G25230.TAIR10	9188181	Chr3	False
256	256	-1.59680604748	AT1G20700.TAIR10	7182558	Chr1	False
257	257	-2.41392852485	AT3G30260.TAIR10	11909119	Chr3	False
258	258	-1.22602423913	AT3G49796.TAIR10	18471057	Chr3	False
259	259	-2.50792106567	AT2G23390.TAIR10	9960372	Chr2	False
260	260		ATMG00560.TAIR10	154744	ChrM	False
261	261	-0.942477447444	AT4G11630.TAIR10	7019700	Chr4	False
262	262	-0.26990370327	AT5G02940.TAIR10	684474	Chr5	False
263	263	-1.5294402817	AT1G04445.TAIR10	1207344	Chr1	False
264	264	-2.17952650598	AT2G42880.TAIR10	17840388	Chr2	True
265	265	-2.2603527881	AT1G19190.TAIR10	6623876	Chr1	False
266	266	-1.53283280137	AT1G34041.TAIR10	12378033	Chr1	False
267	267	-1.6020922402	AT4G09890.TAIR10	6218396	Chr4	False
268	268	-1.52264010283	AT3G49020.TAIR10	18169079	Chr3	False
269	269	-1.59772842859	AT1G22000.TAIR10	7744189	Chr1	False
270	270	0.105357131901	AT4G14450.TAIR10	8309474	Chr4	False
271	271	-2.38372478476	AT1G54790.TAIR10	20441055	Chr1	False
272	272	-1.28667704356	AT5G24250.TAIR10	8233696	Chr5	False
273	273	-0.88200004247	AT3G32180.TAIR10	13162413	Chr3	False
274	274	0.474484593132	AT4G34310.TAIR10	16414113	Chr4	False
275	275	-1.79215058506	AT1G21925.TAIR10	7710423	Chr1	False
276	276	-2.25115335162	AT4G24250.TAIR10	12574812	Chr4	False
277	277	-1.76433816019	AT5G09950.TAIR10	3102877	Chr5	False
278	278	1.9360129759	AT1G74880.TAIR10	28129858	Chr1	False
279	279	-2.06996395043	AT3G58180.TAIR10	21544097	Chr3	False
280	280	-0.855633935281	AT1G05770.TAIR10	1725388	Chr1	False
281	281	-1.55051217908	AT2G36210.TAIR10	15186040	Chr2	False
282	282	-2.31344099566	AT1G17370.TAIR10	5951542	Chr1	False
283	283	-1.97532137676	AT4G39800.TAIR10	18469348	Chr4	False
284	284	0.24215866519	AT4G33860.TAIR10	16229948	Chr4	False
285	285	-1.4516869433	AT3G45040.TAIR10	16472662	Chr3	False
286	286	-2.25417107189	AT4G31210.TAIR10	15165156	Chr4	False
287	287	-0.0202555235448	AT4G23650.TAIR10	12324758	Chr4	False
288	288	-0.940588513416	AT1G33940.TAIR10	12330576	Chr1	False
289	289	2.4403602437	AT5G52810.TAIR10	21399331	Chr5	False
290	290	-2.00460226662	AT4G04402.TAIR10	2164007	Chr4	False
291	291	-2.29165521409	AT1G76130.TAIR10	28561281	Chr1	False
292	292	-2.28499501426	AT3G49750.TAIR10	18450426	Chr3	False
293	293	-0.497659767966	AT5G17262.TAIR10	5678377	Chr5	False
294	294	-0.521130012566	AT4G13820.TAIR10	8007989	Chr4	False
295	295	-2.37049492799	AT4G11310.TAIR10	6883551	Chr4	False
296	296	-2.31203040009	AT2G02040.TAIR10	487423	Chr2	False
297	297	-2.44885176172	AT1G77460.TAIR10	29103763	Chr1	False
298	298	-0.126142654702	AT1G62305.TAIR10	23026776	Chr1	False
299	299	-1.75651204217	AT2G38460.TAIR10	16103311	Chr2	False
300	300	0.368878022662	AT2G36910.TAIR10	15502014	Chr2	False
301	301	-1.89128326093	AT1G19200.TAIR10	6625020	Chr1	False
302	302	-2.32569575254	AT5G49000.TAIR10	19864527	Chr5	False
303	303	-2.15845033702	AT2G47300.TAIR10	19418471	Chr2	False
304	304	-2.2432958061	AT1G63205.TAIR10	23437689	Chr1	False
305	305	-0.90412621599	AT5G60180.TAIR10	24233024	Chr5	False
306	306	0.0932723155948	AT4G36250.TAIR10	17150869	Chr4	False
307	307	-2.39387566086	AT1G74050.TAIR10	27847047	Chr1	False
308	308	-2.31756645308	AT2G13370.TAIR10	5544181	Chr2	False
309	309	-2.19734586478	AT2G20560.TAIR10	8848130	Chr2	False
310	310	-2.13941449758	AT1G76930.TAIR10	28895301	Chr1	False
311	311	-1.56195812439	AT5G10940.TAIR10	3448636	Chr5	False
312	312	-2.05815878897	AT1G53520.TAIR10	19976415	Chr1	False
313	313	-1.94951243595	AT4G01770.TAIR10	764514	Chr4	False
314	314	-1.93876240142	AT2G31590.TAIR10	13446829	Chr2	False
315	315	-2.03157875957	AT3G15355.TAIR10	5183739	Chr3	False
316	316	-0.575936468868	AT3G02180.TAIR10	404733	Chr3	False
317	317	-0.952690811051	AT3G62350.TAIR10	23071080	Chr3	False
318	318	-0.819460109154	AT1G59833.TAIR10	22023337	Chr1	False
319	319	-2.11718566836	AT4G35520.TAIR10	16865488	Chr4	False
320	320	1.77369375351	AT3G16000.TAIR10	5430889	Chr3	False
321	321	-1.18712190083	AT1G55740.TAIR10	20835366	Chr1	False
322	322	-0.758182536443	AT3G43670.TAIR10	15567099	Chr3	False
323	323	-0.21617320583	AT5G43590.TAIR10	17509368	Chr5	False
324	324	-0.162682797032	AT2G34020.TAIR10	14371185	Chr2	False
325	325	-2.59885289271	AT4G18750.TAIR10	10304850	Chr4	False
326	326	0.6851898253	AT3G47810.TAIR10	17637129	Chr3	False
327	327	-0.172939344671	AT5G18010.TAIR10	5962897	Chr5	False
328	328	-1.82132961862	AT3G55672.TAIR10	20660960	Chr3	False
329	329	-0.473483538748	AT5G26262.TAIR10	9203285	Chr5	False
330	330	-2.23574833442	AT4G25500.TAIR10	13024571	Chr4	False
331	331	-1.95285964977	AT3G03450.TAIR10	819337	Chr3	True
332	332	0.838382774992	AT5G19750.TAIR10	6677069	Chr5	False
333	333	-1.82921579844	AT3G51030.TAIR10	18950996	Chr3	True
334	334	-2.31430280636	AT4G10930.TAIR10	6705147	Chr4	False
335	335	-0.054869907283	AT2G30220.TAIR10	12891266	Chr2	False
336	336	-2.42915642206	AT1G29710.TAIR10	10387673	Chr1	False
337	337	-2.19704772782	AT1G72720.TAIR10	27376755	Chr1	False
338	338	-1.95186670582	AT4G04080.TAIR10	1963358	Chr4	False
339	339	-1.19587258776	AT5G35688.TAIR10	13864215	Chr5	False
340	340	-1.66313405764	AT3G24270.TAIR10	8796541	Chr3	False
341	341	-2.29290326121	AT5G55260.TAIR10	22416599	Chr5	False
342	342	0.359936684108	AT2G27540.TAIR10	11768951	Chr2	False
343	343	-2.29816234059	AT2G20270.TAIR10	8737786	Chr2	False
344	344	-2.1508353475	AT5G13650.TAIR10	4397748	Chr5	False
345	345	-0.999125144315	AT1G04360.TAIR10	1167457	Chr1	False
346	346	-1.69499078811	AT3G55080.TAIR10	20411399	Chr3	False
347	347	-1.83772222504	AT3G22104.TAIR10	7789376	Chr3	False
348	348	-1.08697948297	AT1G61170.TAIR10	22549638	Chr1	False
349	349	-0.824257861796	AT3G47570.TAIR10	17527507	Chr3	False
350	350	-1.79417979327	AT1G26180.TAIR10	9054744	Chr1	False
351	351	-2.26072742573	AT5G60780.TAIR10	24450839	Chr5	False
352	352	-1.42208706007	AT1G32583.TAIR10	11785806	Chr1	False
353	353	-1.54236256145	AT5G58830.TAIR10	23755775	Chr5	False
354	354	-0.994574383121	AT5G65230.TAIR10	26068290	Chr5	False
355	355	-1.55106550713	AT1G52930.TAIR10	19711237	Chr1	False
356	356	-1.96066116445	AT1G49800.TAIR10	18438365	Chr1	False
357	357	-2.287724929	AT2G22070.TAIR10	9383602	Chr2	False
358	358	-2.39203823744	AT4G38780.TAIR10	18101296	Chr4	False
359	359	-2.18329612452	AT4G25030.TAIR10	12864614	Chr4	False
360	360	-2.08103332323	AT3G57720.TAIR10	21387722	Chr3	True
361	361	-2.08180951949	AT4G38430.TAIR10	17986466	Chr4	False
362	362	-1.71744416785	AT3G12920.TAIR10	4121883	Chr3	False
363	363	-2.19541189996	AT3G17205.TAIR10	5873294	Chr3	False
364	364	-0.319034574397	AT2G05400.TAIR10	1974886	Chr2	False
365	365	-0.823588193351	AT3G03790.TAIR10	961997	Chr3	False
366	366	-2.14184827977	AT2G33200.TAIR10	14069541	Chr2	False
367	367	0.176441318924	AT4G01320.TAIR10	545796	Chr4	False
368	368	-0.947314109898	AT1G41920.TAIR10	15680978	Chr1	False
369	369	-1.20734160198	AT1G28600.TAIR10	10051014	Chr1	False
370	370	-2.34918585433	AT1G07240.TAIR10	2223691	Chr1	False
371	371	-0.496311780837	AT3G07430.TAIR10	2379193	Chr3	False
372	372	-1.97462620752	AT1G73770.TAIR10	27742128	Chr1	False
373	373	-0.544857244392	AT5G15410.TAIR10	5003307	Chr5	False
374	374	-0.304625981003	AT3G49200.TAIR10	18235269	Chr3	False
375	375	-2.4229069542	AT4G34440.TAIR10	16465828	Chr4	False
376	376	-2.20577042529	AT3G22142.TAIR10	7803604	Chr3	False
377	377	-2.35535393254	AT1G32250.TAIR10	11639843	Chr1	False
378	378	-2.28042651789	AT1G69520.TAIR10	26128288	Chr1	False
379	379	-1.34964662277	AT1G57800.TAIR10	21408623	Chr1	False
380	380	-1.92806522453	AT1G34440.TAIR10	12591348	Chr1	False
381	381	0.669703672563	AT3G01950.TAIR10	323977	Chr3	False
382	382	1.37681011172	AT3G23110.TAIR10	8222364	Chr3	False
383	383	-0.204865821289	AT1G73280.TAIR10	27552970	Chr1	False
384	384	3.64874998058	AT5G23411.TAIR10	7886644	Chr5	False
385	385	-2.15562932954	AT3G63200.TAIR10	23345902	Chr3	False
386	386	-2.10813504836	AT3G53070.TAIR10	19674533	Chr3	False
387	387		AT5G17530.TAIR10	5777595	Chr5	False
388	388	-2.29374123626	AT3G04950.TAIR10	1371705	Chr3	False
