	IntA	IntB	originCol	qualityIntact	qualityBiogrid	confirmed
37	AT1G35560	AT3G24520	PvP	#N/A	#N/A	FALSE
38	AT1G35560	AT3G29350	PvP	#N/A	#N/A	FALSE
39	AT1G35560	AT1G64520	PvP	#N/A	#N/A	FALSE
40	AT1G35560	AT3G57040	PvP	#N/A	#N/A	FALSE
41	AT1G35560	AT5G62000	PvP	#N/A	#N/A	FALSE
42	AT1G35560	AT2G46130	PvP	#N/A	#N/A	FALSE
43	AT1G15550	AT1G35560	PvP	#N/A	#N/A	FALSE
44	AT1G21690	AT1G35560	PvP	#N/A	#N/A	FALSE
45	AT4G24400	AT5G47100	PvP,PvA	binary	#N/A	TRUE
46	AT1G04240	AT1G04250	PvP	binary	binary	TRUE
47	AT1G04250	AT4G14560	PvP	HQ	binary	TRUE
48	AT4G37260	AT5G58950	PvP,PvA	#N/A	#N/A	FALSE
49	AT1G53170	AT4G37260	PvP	#N/A	#N/A	FALSE
50	AT2G29380	AT4G37260	PvP	#N/A	#N/A	FALSE
51	AT4G37260	AT5G17690	PvP	#N/A	#N/A	FALSE
52	AT1G01140	AT4G37260	PvP,PvA	#N/A	#N/A	FALSE
53	AT2G01760	AT4G37260	PvP,PvA	#N/A	#N/A	FALSE
54	AT2G30590	AT4G37260	PvP	#N/A	#N/A	FALSE
55	AT1G19220	AT3G23050	PvP	binary	binary	TRUE
56	AT4G32010	AT5G55170	PvP	#N/A	#N/A	FALSE
57	AT1G51600	AT4G24470	PvP	#N/A	#N/A	FALSE
58	AT3G21175	AT4G24470	PvP,PvA	#N/A	#N/A	FALSE
59	AT3G23610	AT3G45640	PvP	#N/A	#N/A	FALSE
60	AT2G29380	AT5G45830	PvP	#N/A	#N/A	FALSE
61	AT1G35560	AT4G11070	PvP	#N/A	#N/A	FALSE
62	AT1G35560	AT4G29800	PvP	#N/A	#N/A	FALSE
63	AT1G35560	AT1G50600	PvP	#N/A	#N/A	FALSE
64	AT1G18400	AT1G35560	PvP	#N/A	#N/A	FALSE
65	AT1G35560	AT1G53170	PvP	#N/A	#N/A	FALSE
66	AT1G35560	AT5G13080	PvP	#N/A	#N/A	FALSE
67	AT1G35560	AT5G43290	PvP	#N/A	#N/A	FALSE
68	AT1G14280	AT1G35560	PvP	#N/A	#N/A	FALSE
69	AT1G35560	AT2G39250	PvP	#N/A	#N/A	FALSE
70	AT1G35560	AT2G01760	PvP	#N/A	#N/A	FALSE
71	AT1G35560	AT2G30590	PvP	#N/A	#N/A	FALSE
72	AT1G35560	AT3G45640	PvP	#N/A	#N/A	FALSE
73	AT1G35560	AT4G36540	PvP	#N/A	#N/A	FALSE
74	AT1G28360	AT1G35560	PvP	#N/A	#N/A	FALSE
75	AT1G35560	AT5G55170	PvP	#N/A	#N/A	FALSE
76	AT1G35560	AT3G01970	PvP	#N/A	#N/A	FALSE
77	AT1G17550	AT4G27920	PvP	#N/A	#N/A	FALSE
78	AT1G04250	AT3G61830	PvP	non-binary	non-binary	TRUE
79	AT1G04250	AT1G04550	PvP	HQ	HQ	TRUE
80	AT2G25090	AT4G37260	PvP	#N/A	#N/A	FALSE
81	AT1G51660	AT4G37260	PvP,PvA	#N/A	#N/A	FALSE
82	AT2G42880	AT4G37260	PvP,PvA	#N/A	#N/A	FALSE
83	AT1G10210	AT4G37260	PvP	#N/A	#N/A	FALSE
84	AT3G14720	AT4G37260	PvP	#N/A	#N/A	FALSE
85	AT4G32010	AT5G41920	PvP,PvA	#N/A	#N/A	FALSE
86	AT3G61830	AT4G32010	PvP	#N/A	#N/A	FALSE
87	AT1G18350	AT4G32010	PvP,PvA	#N/A	#N/A	FALSE
88	AT1G07340	AT1G10210	PvP	#N/A	#N/A	FALSE
89	AT1G07340	AT1G18350	PvP	#N/A	#N/A	FALSE
90	AT3G15150	AT3G23610	PvP	#N/A	#N/A	FALSE
91	AT1G35560	AT3G15150	PvP	#N/A	#N/A	FALSE
92	AT1G35560	AT2G26980	PvP	#N/A	#N/A	FALSE
93	AT1G35560	AT2G42880	PvP	#N/A	#N/A	FALSE
94	AT1G35560	AT4G14713	PvP	#N/A	#N/A	FALSE
95	AT1G35560	AT1G80340	PvP	#N/A	#N/A	FALSE
96	AT1G10210	AT1G35560	PvP	#N/A	#N/A	FALSE
97	AT1G18350	AT1G35560	PvP	#N/A	#N/A	FALSE
98	AT1G35560	AT3G14720	PvP	#N/A	#N/A	FALSE
99	AT2G30020	AT4G01370	PvP	#N/A	binary	TRUE
100	AT2G44050	AT5G01810	PvP	#N/A	#N/A	FALSE
101	AT1G73410	AT4G30080	PvP	#N/A	#N/A	FALSE
102	AT2G25490	AT4G36930	PvP	#N/A	#N/A	FALSE
103	AT1G74950	AT4G28910	PvP	#N/A	#N/A	FALSE
104	AT1G73410	AT4G08150	PvP	#N/A	#N/A	FALSE
105	AT1G50960	AT3G54220	PvP	#N/A	#N/A	FALSE
106	AT1G31880	AT2G44745	PvP	#N/A	#N/A	FALSE
107	AT1G31880	AT5G51760	PvP	#N/A	#N/A	FALSE
108	AT1G31880	AT5G55910	PvP	#N/A	#N/A	FALSE
109	AT1G31880	AT1G69560	PvP	#N/A	#N/A	FALSE
110	AT1G66560	AT5G22570	PvP	#N/A	#N/A	FALSE
111	AT1G35560	AT5G05440	PvP	#N/A	#N/A	FALSE
112	AT1G73410	AT5G25190	PvP	#N/A	#N/A	FALSE
113	AT1G64280	AT3G12250	PvP	HQ	HQ	TRUE
114	AT3G29350	AT4G16110	PvP	HQ	HQ	TRUE
115	AT1G74910	AT3G03540	PvP	#N/A	#N/A	FALSE
116	AT1G14920	AT4G36930	PvP	#N/A	#N/A	FALSE
117	AT4G32570	AT5G51760	PvP	#N/A	#N/A	FALSE
118	AT3G03450	AT5G54190	PvP,PvA	#N/A	#N/A	FALSE
119	AT4G01370	AT4G29810	PvP,PvA	HQ	HQ	TRUE
120	AT5G01600	AT5G01600	PvP,PvA	#N/A	binary	TRUE
121	AT5G67300	AT5G67300	PvP,PvA	#N/A	binary	TRUE
122	AT5G53160	AT5G67300	PvP	#N/A	binary	TRUE
123	AT1G72450	AT4G28910	PvP,PvA	#N/A	#N/A	FALSE
124	AT2G44050	AT2G44050	PvP,PvA	#N/A	#N/A	FALSE
125	AT2G38490	AT2G44050	PvP	#N/A	#N/A	FALSE
126	AT2G24570	AT2G44050	PvP,PvA	#N/A	#N/A	FALSE
127	AT1G68550	AT2G38490	PvP,PvA	#N/A	#N/A	FALSE
128	AT1G07430	AT5G53160	PvP,PvA	#N/A	HQ	TRUE
129	AT1G01360	AT1G07430	PvP	#N/A	binary	TRUE
130	AT2G25490	AT4G02570	PvP	non-binary	binary	TRUE
131	AT4G28910	AT5G13220	PvP,PvA	#N/A	HQ	TRUE
132	AT2G25490	AT4G08150	PvP	#N/A	#N/A	FALSE
133	AT4G08150	AT4G08150	PvP,PvA	#N/A	#N/A	FALSE
134	AT1G21690	AT1G77470	PvP,PvA	#N/A	#N/A	FALSE
135	AT1G31880	AT1G51660	PvP,PvA	binary	binary	TRUE
136	AT1G31880	AT1G54490	PvP	#N/A	#N/A	FALSE
137	AT1G31880	AT5G16080	PvP,PvA	#N/A	#N/A	FALSE
138	AT1G31880	AT1G37130	PvP	#N/A	#N/A	FALSE
139	AT1G31880	AT2G02950	PvP	#N/A	#N/A	FALSE
140	AT1G15550	AT1G31880	PvP,PvA	#N/A	#N/A	FALSE
141	AT1G31880	AT5G61380	PvP	#N/A	#N/A	FALSE
142	AT1G31880	AT2G32960	PvP,PvA	binary	binary	TRUE
143	AT1G31880	AT2G24570	PvP,PvA	binary	binary	TRUE
144	AT5G22570	AT5G62000	PvP	#N/A	#N/A	FALSE
145	AT1G64280	AT5G06960	PvP,PvA	HQ	HQ	TRUE
146	AT1G14920	AT4G24210	PvP	HQ	HQ	TRUE
147	AT3G29350	AT4G31920	PvP	#N/A	binary	TRUE
148	AT1G07430	AT2G25000	PvP	#N/A	#N/A	FALSE
149	AT2G25000	AT3G24520	PvP	#N/A	#N/A	FALSE
150	AT2G25000	AT3G29350	PvP	#N/A	#N/A	FALSE
151	AT2G25000	AT2G25000	PvP	HQ	HQ	TRUE
152	AT2G25490	AT4G32570	PvP,PvA	#N/A	#N/A	FALSE
153	AT4G08150	AT4G32570	PvP	#N/A	#N/A	FALSE
154	AT1G37130	AT4G32570	PvP	#N/A	#N/A	FALSE
155	AT3G29350	AT4G32570	PvP	#N/A	#N/A	FALSE
156	AT1G15550	AT4G32570	PvP	#N/A	#N/A	FALSE
157	AT2G40330	AT5G57050	PvP	binary	HQ	TRUE
158	AT5G05440	AT5G57050	PvP	binary	HQ	TRUE
159	AT5G53160	AT5G57050	PvP	#N/A	HQ	TRUE
160	AT1G01360	AT5G57050	PvP	HQ	HQ	TRUE
161	AT1G53510	AT3G03450	PvP	#N/A	#N/A	FALSE
162	AT3G03450	AT5G64813	PvP	#N/A	#N/A	FALSE
163	AT1G51660	AT3G45640	PvP,PvA	HQ	binary	TRUE
164	AT4G01370	AT4G26070	PvP,PvA	HQ	HQ	TRUE
165	AT2G45820	AT3G44620	PvP	#N/A	#N/A	FALSE
166	AT2G01760	AT2G44050	PvP	#N/A	#N/A	FALSE
167	AT2G30590	AT2G44050	PvP	#N/A	#N/A	FALSE
168	AT4G27450	AT5G43830	PvP,PvA	HQ	binary	TRUE
169	AT1G19180	AT4G28910	PvP,PvA	#N/A	HQ	TRUE
170	AT1G70700	AT4G28910	PvP,PvA	#N/A	#N/A	FALSE
171	AT1G17380	AT4G28910	PvP,PvA	binary	binary	TRUE
172	AT1G31880	AT1G53510	PvP	#N/A	#N/A	FALSE
173	AT1G31880	AT5G60120	PvP	binary	binary	TRUE
174	AT1G31880	AT1G53170	PvP	#N/A	#N/A	FALSE
175	AT1G31880	AT2G46870	PvP,PvA	binary	binary	TRUE
176	AT1G22640	AT1G31880	PvP	#N/A	#N/A	FALSE
177	AT1G31880	AT1G69810	PvP	binary	binary	TRUE
178	AT1G01140	AT1G31880	PvP	binary	binary	TRUE
179	AT1G14280	AT1G31880	PvP	#N/A	#N/A	FALSE
180	AT1G31880	AT2G01760	PvP	#N/A	#N/A	FALSE
181	AT4G11070	AT5G22570	PvP,PvA	#N/A	#N/A	FALSE
182	AT1G80840	AT5G22570	PvP,PvA	binary	binary	TRUE
183	AT1G30270	AT5G47100	PvP,PvA	HQ	HQ	TRUE
184	AT5G47100	AT5G58380	PvP,PvA	HQ	binary	TRUE
185	AT4G18880	AT5G64813	PvP	#N/A	#N/A	FALSE
186	AT1G14920	AT2G44950	PvP	#N/A	#N/A	FALSE
187	AT1G14920	AT1G53510	PvP	binary	binary	TRUE
188	AT1G14920	AT1G70700	PvP	binary	binary	TRUE
189	AT2G29380	AT5G53160	PvP	#N/A	binary	TRUE
190	AT1G32640	AT1G70700	PvP	HQ	HQ	TRUE
191	AT1G32640	AT3G20550	PvP	#N/A	#N/A	FALSE
192	AT1G17380	AT1G32640	PvP	HQ	HQ	TRUE
193	AT1G69810	AT2G25000	PvP	binary	binary	TRUE
194	AT2G01760	AT2G25000	PvP	#N/A	#N/A	FALSE
195	AT2G01760	AT4G32570	PvP,PvA	binary	binary	TRUE
196	AT1G01360	AT2G29380	PvP	#N/A	binary	TRUE
197	AT2G42880	AT3G03450	PvP	#N/A	#N/A	FALSE
198	AT4G01370	AT5G56580	PvP	binary	HQ	TRUE
199	AT4G14720	AT4G28910	PvP,PvA	#N/A	#N/A	FALSE
200	AT1G63160	AT1G77470	PvP	#N/A	#N/A	FALSE
201	AT1G31880	AT5G04190	PvP	#N/A	#N/A	FALSE
202	AT1G31880	AT2G25090	PvP	#N/A	#N/A	FALSE
203	AT1G31880	AT5G08130	PvP,PvA	#N/A	#N/A	FALSE
204	AT1G31880	AT2G42880	PvP,PvA	#N/A	#N/A	FALSE
205	AT1G06400	AT4G17720	PvP	#N/A	#N/A	FALSE
206	AT2G26980	AT5G25190	PvP	#N/A	#N/A	FALSE
207	AT1G23860	AT3G61860	PvP,PvA	#N/A	binary	TRUE
208	AT1G14920	AT2G42880	PvP	#N/A	#N/A	FALSE
209	AT5G53160	AT5G59220	PvP,PvA	#N/A	HQ	TRUE
210	AT1G18350	AT2G34650	PvP	#N/A	#N/A	FALSE
211	AT4G32570	AT5G41920	PvP,PvA	#N/A	#N/A	FALSE
212	AT1G51660	AT4G32570	PvP	#N/A	#N/A	FALSE
213	AT4G14713	AT4G32570	PvP	#N/A	#N/A	FALSE
214	AT4G14720	AT4G32570	PvP	#N/A	HQ	TRUE
215	AT1G18350	AT4G32570	PvP	#N/A	#N/A	FALSE
216	AT1G10210	AT5G40440	PvP	binary	binary	TRUE
217	AT4G27920	AT5G57050	PvP	#N/A	#N/A	FALSE
218	AT1G69010	AT5G38860	PvP	#N/A	#N/A	FALSE
219	AT4G39780	AT5G21010	PvP	#N/A	#N/A	FALSE
220	AT4G00120	AT4G36930	PvP	#N/A	binary	TRUE
221	AT2G30020	AT2G43790	PvP	#N/A	binary	TRUE
222	AT5G01810	AT5G47100	PvP	#N/A	#N/A	FALSE
223	AT2G40750	AT4G26110	PvP	#N/A	#N/A	FALSE
224	AT1G25490	AT5G51760	PvP	#N/A	#N/A	FALSE
225	AT1G25490	AT5G45810	PvP	#N/A	#N/A	FALSE
226	AT4G29810	AT5G58950	PvP,PvA	binary	binary	TRUE
227	AT2G40330	AT4G26080	PvP	#N/A	HQ	TRUE
228	AT4G26080	AT5G05440	PvP,PvA	binary	HQ	TRUE
229	AT1G01360	AT4G26080	PvP,PvA	HQ	HQ	TRUE
230	AT1G51660	AT2G43790	PvP,PvA	HQ	binary	TRUE
231	AT2G43790	AT4G29810	PvP	HQ	#N/A	TRUE
232	AT2G04550	AT5G47100	PvP	#N/A	#N/A	FALSE
233	AT3G21175	AT5G11270	PvP	binary	binary	TRUE
234	AT2G02560	AT3G21175	PvP	#N/A	#N/A	FALSE
235	AT1G19180	AT3G29350	PvP	#N/A	#N/A	FALSE
236	AT3G52930	AT5G03690	PvP,PvA	#N/A	binary	TRUE
237	AT1G64280	AT5G65210	PvP	binary	HQ	TRUE
238	AT2G02950	AT2G39760	PvP	#N/A	#N/A	FALSE
239	AT2G39760	AT3G24520	PvP,PvA	#N/A	#N/A	FALSE
240	AT1G25490	AT3G48090	PvP	#N/A	#N/A	FALSE
241	AT1G21690	AT1G25490	PvP	#N/A	#N/A	FALSE
242	AT1G15550	AT5G25890	PvP,PvA	#N/A	#N/A	FALSE
243	AT1G19050	AT3G29350	PvP	HQ	binary	TRUE
244	AT1G51600	AT3G21175	PvP	binary	binary	TRUE
245	AT1G69010	AT1G69010	PvP,PvA	binary	binary	TRUE
246	AT5G43830	AT5G43830	PvP	#N/A	#N/A	FALSE
247	AT1G04240	AT4G14560	PvP	HQ	HQ	TRUE
248	AT1G04240	AT3G15540	PvP	binary	binary	TRUE
249	AT3G15540	AT3G23050	PvP	binary	binary	TRUE
250	AT3G15540	AT4G14560	PvP	HQ	HQ	TRUE
251	AT2G39760	AT4G39780	PvP	#N/A	#N/A	FALSE
252	AT4G39780	AT5G19000	PvP	non-binary	#N/A	TRUE
253	AT1G19180	AT1G30135	PvP,PvA	HQ	HQ	TRUE
254	AT1G50600	AT5G67000	PvP	#N/A	#N/A	FALSE
255	AT3G42960	AT3G42960	PvP	binary	binary	TRUE
256	AT2G01760	AT4G00120	PvP	#N/A	#N/A	FALSE
257	AT4G00120	AT5G55170	PvP	#N/A	#N/A	FALSE
258	AT1G01140	AT5G47100	PvP	binary	HQ	TRUE
259	AT5G35410	AT5G47100	PvP,PvA	binary	binary	TRUE
260	AT3G21175	AT3G21175	PvP	binary	binary	TRUE
261	AT3G01970	AT3G21175	PvP	#N/A	#N/A	FALSE
262	AT5G58220	AT5G58220	PvP	binary	binary	TRUE
263	AT3G20550	AT5G58220	PvP	#N/A	#N/A	FALSE
264	AT2G26560	AT2G26560	PvP	binary	binary	TRUE
265	AT4G26110	AT4G26110	PvP	HQ	binary	TRUE
266	AT1G19180	AT1G19180	PvP	HQ	HQ	TRUE
267	AT3G45640	AT3G63210	PvP	binary	binary	TRUE
268	AT1G53170	AT2G39760	PvP	#N/A	#N/A	FALSE
269	AT2G39760	AT2G39760	PvP	HQ	HQ	TRUE
270	AT1G25490	AT4G29800	PvP	#N/A	#N/A	FALSE
271	AT1G25490	AT5G64813	PvP	binary	binary	TRUE
272	AT1G18400	AT1G25490	PvP	#N/A	#N/A	FALSE
273	AT1G25490	AT1G53170	PvP	#N/A	#N/A	FALSE
274	AT1G25490	AT4G36540	PvP	#N/A	#N/A	FALSE
275	AT5G10930	AT5G47100	PvP,PvA	binary	#N/A	TRUE
276	AT1G04240	AT5G25890	PvP	binary	binary	TRUE
277	AT3G23050	AT5G25890	PvP	HQ	HQ	TRUE
278	AT4G14560	AT5G25890	PvP	HQ	HQ	TRUE
279	AT1G53170	AT5G19000	PvP	#N/A	#N/A	FALSE
280	AT1G52340	AT1G52340	PvP,PvA	binary	binary	TRUE
281	AT1G54990	AT2G38120	PvP,PvA	#N/A	#N/A	FALSE
282	AT4G26080	AT4G27920	PvP	#N/A	non-binary	TRUE
283	AT1G69010	AT5G08130	PvP,PvA	#N/A	#N/A	FALSE
284	AT1G04240	AT1G04550	PvP	binary	binary	TRUE
285	AT2G29380	AT4G27920	PvP	#N/A	binary	TRUE
286	AT3G15540	AT3G61830	PvP	non-binary	#N/A	TRUE
287	AT1G04550	AT3G15540	PvP	binary	binary	TRUE
288	AT2G04890	AT5G67000	PvP	#N/A	#N/A	FALSE
289	AT2G43790	AT5G56580	PvP	binary	non-binary	TRUE
290	AT3G23050	AT3G61830	PvP	#N/A	#N/A	FALSE
291	AT2G25090	AT5G47100	PvP,PvA	HQ	binary	TRUE
292	AT5G45820	AT5G47100	PvP,PvA	#N/A	#N/A	FALSE
293	AT2G26980	AT5G47100	PvP,PvA	#N/A	#N/A	FALSE
294	AT3G17510	AT5G47100	PvP	HQ	non-binary	TRUE
295	AT2G26560	AT5G41920	PvP,PvA	#N/A	#N/A	FALSE
296	AT1G19180	AT5G41920	PvP	#N/A	#N/A	FALSE
297	AT1G10210	AT3G63210	PvP,PvA	#N/A	#N/A	FALSE
298	AT1G25490	AT2G25090	PvP	#N/A	#N/A	FALSE
299	AT1G25490	AT2G37630	PvP	#N/A	#N/A	FALSE
300	AT1G25490	AT5G08130	PvP	#N/A	#N/A	FALSE
301	AT1G25490	AT2G26980	PvP	#N/A	#N/A	FALSE
302	AT3G61830	AT5G25890	PvP	non-binary	non-binary	TRUE
303	AT1G04550	AT5G25890	PvP	binary	binary	TRUE
304	AT2G30980	AT4G18890	PvP	#N/A	#N/A	FALSE
305	AT1G24590	AT1G73410	PvP	#N/A	#N/A	FALSE
306	AT1G24590	AT4G36930	PvP	#N/A	#N/A	FALSE
307	AT1G22070	AT3G12250	PvP	#N/A	#N/A	FALSE
308	AT2G37630	AT5G51760	PvP	#N/A	#N/A	FALSE
309	AT1G75000	AT5G08130	PvP	#N/A	#N/A	FALSE
310	AT5G08130	AT5G38860	PvP	#N/A	#N/A	FALSE
311	AT5G05730	AT5G08130	PvP	#N/A	#N/A	FALSE
312	AT4G33790	AT5G08130	PvP	#N/A	#N/A	FALSE
313	AT1G73410	AT5G41920	PvP	#N/A	#N/A	FALSE
314	AT1G69560	AT5G48870	PvP	#N/A	#N/A	FALSE
315	AT1G13980	AT3G11410	PvP	#N/A	#N/A	FALSE
316	AT3G11410	AT5G45830	PvP	#N/A	#N/A	FALSE
317	AT5G05730	AT5G20900	PvP	#N/A	#N/A	FALSE
318	AT4G32010	AT5G17490	PvP	#N/A	#N/A	FALSE
319	AT5G05410	AT5G45830	PvP	#N/A	#N/A	FALSE
320	AT1G15550	AT1G24590	PvP,PvA	#N/A	#N/A	FALSE
321	AT1G22070	AT1G64280	PvP,PvA	HQ	HQ	TRUE
322	AT1G04550	AT3G23050	PvP	binary	binary	TRUE
323	AT1G04550	AT4G14560	PvP	#N/A	#N/A	FALSE
324	AT1G04550	AT2G01760	PvP	#N/A	#N/A	FALSE
325	AT2G01760	AT2G22090	PvP,PvA	#N/A	#N/A	FALSE
326	AT4G33520	AT5G17490	PvP	#N/A	#N/A	FALSE
327	AT1G23860	AT2G01760	PvP	#N/A	#N/A	FALSE
328	AT5G07310	AT5G48150	PvP	#N/A	#N/A	FALSE
329	AT1G18350	AT1G24590	PvP	#N/A	#N/A	FALSE
330	AT2G04890	AT5G07310	PvP,PvA	#N/A	#N/A	FALSE
331	AT2G37630	AT2G37630	PvP	#N/A	non-binary	TRUE
332	AT1G37130	AT2G37630	PvP	#N/A	#N/A	FALSE
333	AT2G37630	AT2G42880	PvP	#N/A	#N/A	FALSE
334	AT5G08130	AT5G08130	PvP	#N/A	#N/A	FALSE
335	AT3G11410	AT4G27920	PvP	#N/A	binary	TRUE
336	AT3G61830	AT3G61830	PvP,PvA	non-binary	non-binary	TRUE
337	AT1G04550	AT3G61830	PvP	non-binary	#N/A	TRUE
338	AT1G04550	AT1G04550	PvP	HQ	HQ	TRUE
339	AT2G22090	AT2G22090	PvP,PvA	binary	#N/A	TRUE
340	AT4G27920	AT5G59220	PvP	#N/A	binary	TRUE
341	AT2G04890	AT4G14720	PvP	#N/A	#N/A	FALSE
342	AT4G14713	AT4G14720	PvP	#N/A	#N/A	FALSE
343	AT1G23860	AT1G23860	PvP	#N/A	#N/A	FALSE
344	AT2G38490	AT3G25890	PvP,PvA	#N/A	#N/A	FALSE
345	AT4G08150	AT4G32010	PvP,PvA	#N/A	#N/A	FALSE
346	AT1G15550	AT4G32010	PvP	#N/A	#N/A	FALSE
347	AT2G01760	AT4G36930	PvP	#N/A	#N/A	FALSE
348	AT2G44050	AT5G13930	PvP	#N/A	#N/A	FALSE
349	AT1G07430	AT4G27920	PvP	#N/A	binary	TRUE
350	AT4G14713	AT4G28910	PvP	#N/A	#N/A	FALSE
351	AT1G35540	AT3G61830	PvP	#N/A	#N/A	FALSE
352	AT2G37630	AT3G24520	PvP	#N/A	#N/A	FALSE
353	AT1G15550	AT2G37630	PvP	#N/A	#N/A	FALSE
354	AT2G04550	AT3G11410	PvP	#N/A	#N/A	FALSE
355	AT2G40330	AT3G11410	PvP,PvA	#N/A	HQ	TRUE
356	AT3G11410	AT5G05440	PvP,PvA	#N/A	HQ	TRUE
357	AT2G38310	AT3G11410	PvP,PvA	binary	HQ	TRUE
358	AT3G11410	AT5G53160	PvP	#N/A	HQ	TRUE
359	AT1G01360	AT3G11410	PvP	#N/A	binary	TRUE
360	AT4G28910	AT5G20900	PvP,PvA	#N/A	#N/A	FALSE
361	AT2G22090	AT5G61380	PvP	#N/A	#N/A	FALSE
362	AT2G33830	AT3G03530	PvP	#N/A	#N/A	FALSE
363	AT4G08150	AT5G17490	PvP	#N/A	#N/A	FALSE
364	AT5G17490	AT5G54190	PvP	#N/A	#N/A	FALSE
365	AT1G75080	AT5G17490	PvP	#N/A	non-binary	TRUE
366	AT1G07430	AT4G14720	PvP	#N/A	#N/A	FALSE
367	AT1G23860	AT4G08150	PvP	#N/A	#N/A	FALSE
368	AT2G18170	AT4G29810	PvP	#N/A	#N/A	FALSE
369	AT1G24590	AT4G11070	PvP	#N/A	#N/A	FALSE
370	AT1G24590	AT5G60120	PvP	#N/A	#N/A	FALSE
371	AT1G22070	AT5G06950	PvP	#N/A	#N/A	FALSE
372	AT5G08130	AT5G60120	PvP	#N/A	#N/A	FALSE
373	AT1G15200	AT4G37260	PvA	#N/A	#N/A	FALSE
374	AT1G02690	AT1G04250	PvA	#N/A	#N/A	FALSE
375	AT1G19010	AT4G37260	PvA	#N/A	#N/A	FALSE
376	AT4G37260	AT5G16400	PvA	#N/A	#N/A	FALSE
377	AT3G13672	AT4G37260	PvA	#N/A	#N/A	FALSE
378	AT4G37260	AT5G59730	PvA	#N/A	#N/A	FALSE
379	AT1G66160	AT4G37260	PvA	#N/A	#N/A	FALSE
380	AT3G02140	AT4G37260	PvA	#N/A	#N/A	FALSE
381	AT4G37260	AT5G39340	PvA	#N/A	#N/A	FALSE
382	AT4G17615	AT4G24400	PvA	binary	#N/A	TRUE
383	AT2G17670	AT4G37260	PvA	#N/A	#N/A	FALSE
384	AT4G37260	AT5G42900	PvA	#N/A	#N/A	FALSE
385	AT2G44840	AT3G05000	PvA	#N/A	#N/A	FALSE
386	AT1G04250	AT1G51950	PvA	binary	HQ	TRUE
387	AT1G04250	AT4G16143	PvA	#N/A	#N/A	FALSE
388	AT1G04250	AT4G02150	PvA	#N/A	#N/A	FALSE
389	AT4G16143	AT4G37260	PvA	#N/A	#N/A	FALSE
390	AT4G37260	AT5G37055	PvA	#N/A	#N/A	FALSE
391	AT4G37260	AT5G61010	PvA	#N/A	#N/A	FALSE
392	AT4G31300	AT4G37260	PvA	#N/A	#N/A	FALSE
393	AT4G37260	AT5G62520	PvA	#N/A	#N/A	FALSE
394	AT4G37260	AT5G14070	PvA	#N/A	#N/A	FALSE
395	AT4G02150	AT4G37260	PvA	#N/A	#N/A	FALSE
396	AT4G37260	AT5G61230	PvA	#N/A	#N/A	FALSE
397	AT4G25670	AT4G37260	PvA	#N/A	#N/A	FALSE
